"","Title","mean","min","max","n"
"430","Emergency Management Specialist 3",77155.8876923077,28251.28,136794.89,13
"431","Emergency Medical Services Officer 1",96625,72196.55,116215.94,3
"432","Emergency Medical Services Officer 2",113762.14,113762.14,113762.14,1
"433","Emergency Program Manager 1",98840.57,84606.41,108368.57,4
"434","Emergency Program Manager 2",112363.265,108940.56,115785.97,2
"435","Emergency Services Dispatcher 1",51797.5583333333,8551.13,111812.72,24
"436","Emergency Services Dispatcher 2",128360.183333333,93010.19,175458.23,6
"437","Employment Security Analyst 1",43830.985,810,71599.26,4
"438","Employment Security Analyst 2",73759.8866666667,58380.65,90815.89,9
"439","Employment Security Analyst 3",82045.0207142857,63927.8,103608.63,14
"440","Employment Services Manager 1",76263.9214285714,54729.37,92168.95,7
"441","Employment Services Manager 2",58148.2466666667,16920.8,85474.92,3
"442","Employment Services Manager 3",84567.8875,52430.93,98873.92,4
"443","Employment Services Technician 1",38118.6786666667,1893.75,65802.45,30
"444","Employment Services Technician 2",60106.36225,9641.45,97045.47,40
"445","Employment Services Technician 3",67536.1,50416.28,90088.65,14
"446","Employment/Unemployment Insurance Technical Manager",115804.025,101778.84,133215.74,4
"447","Engineer 1, Dec",105998.66375,81466.75,145319.47,8
"448","Engineer 2, Dec",113920.682222222,80328.44,139401.07,9
"449","Engineer/Architect 1",91742.2308333333,19091.35,131446.7,36
"450","Engineer/Architect 2",111851.613181818,86231.15,144369.15,22
"451","Engineer/Architect 3",136773.45755102,97970.85,171033.65,49
"452","Engineer/Architect 4",163302.218214286,130159.42,186540.44,28
"453","Engineer/Architect 5",173979.488333333,156718.49,208232.44,6
"454","Engineering Assistant 1",55282.5319047619,3991.99,97993.58,21
"455","Engineering Assistant 1, Dec",30311.86,7762.15,60005.77,5
"456","Engineering Assistant 2",106581.510642202,31532.52,210861.9,109
"457","Engineering Assistant 2, Dec",62716.1166666667,52752.42,70334.15,6
"458","Engineering Assistant 3",118674.975488722,6331.33,250276.17,133
"459","Engineering Associate",150087.47862069,78569.24,304185.84,29
"460","Engineering Associate 1 Dec",85942.66,16035.94,118668,15
"461","Engineering Associate 2, Dec",113789.821428571,76364.71,137408.99,7
"462","Engineering Geologist 2",68766.6325,15303.32,105292.28,4
"463","Engineering Geologist 3",95947.71,95947.71,95947.71,1
"464","Engineering Technician, Journey",85438.0291891892,49895.39,139281.91,37
"465","Engineering Technician, Sub-Journey 2",42653.0111111111,5459.97,87157.4,36
"466","Engineering Technician, Sub-Journey 3",63849.5803846154,28627.2,102953.59,26
"467","Environmental Health Officer 1",21660.33,1623.39,48201.35,4
"468","Environmental Health Officer 2",56261.21,56102.9,56419.52,2
"469","Environmental Health Officer 3",66928.2954545455,11169.38,109571.34,11
"470","Environmental Health Officer 4",91767.285,72886.71,107150.59,4
"471","Environmental Health Technician",52334.8866666667,43624.93,59485.6,3
"472","Environmental Impact Analysis Manager 1",94576.16,54834.59,124016.82,10
"473","Environmental Impact Analysis Manager 2",121809.09,121809.09,121809.09,1
"474","Environmental Impact Analyst 1",29666.2433333333,10049.16,57905.52,3
"475","Environmental Impact Analyst 2",49242.7525,27240.73,60844.23,4
"476","Environmental Impact Analyst 3",76645.8364,49651.33,103783.1,25
"477","Environmental Program Manager 1",101717.273636364,69031.41,139121.04,33
"478","Environmental Program Manager 2",111327.241333333,40602.94,133828.61,15
"479","Environmental Program Manager 3",133026.61625,104454.77,168474.16,8
"480","Environmental Program Specialist 1",27409.495,1857.75,49619.97,10
"481","Environmental Program Specialist 2",50017.1923809524,12429,82133.69,21
"482","Environmental Program Specialist 3",67290.5455855856,6944.75,109191.7,111
"483","Environmental Program Specialist 4",88293.5505,22524.12,131521.1,40
"484","Environmental Program Technician",32661.7838461538,845.25,66312.05,13
"485","Environmental Services, Foreman",49869.3175,34374.85,62450.75,4
"486","Environmental Services, Journey 2",39771.8365,4528.44,61240.94,60
"487","Environmental Services, Lead",38435.74,38435.74,38435.74,1
"488","Epidemiologist",132890.875,126827,138954.75,2
"489","Epidemiologist/Chief",276517.15,276517.15,276517.15,1
"490","Epidemiology Specialist 1",74587.97,54453.37,94722.57,2
"491","Epidemiology Specialist 2",80195.6775,63881.32,103725.47,12
"492","Equipment Fleet District Manager",99269.87,92469.6,104565.93,5
"493","Equipment Operations Analyst",77142.22,70714.86,89901.02,3
"494","Equipment Operator Foreman 1",109957.487857143,67785.05,170006.97,28
"495","Equipment Operator Foreman 2",131923.581666667,121299.37,146766.31,6
"496","Equipment Operator, Journey 1",43656.4257894737,1057.63,83032.01,38
"497","Equipment Operator, Journey 2",68756.2639259259,485.12,155583.2,270
"498","Equipment Operator, Lead / Journey 3",87218.9904,2275.5,147096.85,100
"499","Equipment Operator, Sub-Journey 1",34606.7438095238,3275.76,52637.1,21
"500","Equipment Operator, Sub-Journey 2",57652.25625,38375.99,69271.77,8
"501","Evaluation & Planning Officer",108898.98,108898.98,108898.98,1
"502","Exec Dir Ak Mh Lands Trust Off",193169.97,193169.97,193169.97,1
"503","Executive Administrator, Board Of Nursing",116384.7,116384.7,116384.7,1
"504","Executive Administrator, Board Of Pharmacy",66019.27,66019.27,66019.27,1
"505","Executive Administrator, Board Of Public Accountancy",110032.74,110032.74,110032.74,1
"506","Executive Administrator, Real Estate Commission",86069.43,86069.43,86069.43,1
"507","Executive Administrator, State Board Of Reg Arch, Eng & Ls",70057.89,70057.89,70057.89,1
"508","Executive Administrator, State Medical Board",95194.55,95194.55,95194.55,1
"509","Executive Assistant",49023.4914285714,6512.7,88333.99,7
"510","Executive Assistant/Board Liaison",74534.22,74534.22,74534.22,1
"511","Executive Director",131189.768571429,65711.08,213125.98,7
"512","Executive Director Cdvsa",146022.43,146022.43,146022.43,1
"513","Executive Director I, Boards Of Fish & Game",71582.42,71582.42,71582.42,1
"514","Executive Director Ii, Boards Of Fish & Game",123309.3,123309.3,123309.3,1
"515","Executive Director Sac",90035.92,90035.92,90035.92,1
"516","Executive Director, Ak Board Of Parole",114938.93,114938.93,114938.93,1
"517","Executive Director, Ak Commission On Aging",97204.89,97204.89,97204.89,1
"518","Executive Director, Ak State Council On The Arts",97792.7,97792.7,97792.7,1
"519","Executive Director, Alaska Police Standards Council",124131.9,124131.9,124131.9,1
"520","Executive Director, Dhss Boards",89985.9,89985.9,89985.9,1
"521","Executive Director, Pfc",217321.78,217321.78,217321.78,1
"522","Executive Director, Public Offices Commission",107065.15,107065.15,107065.15,1
"523","Executive Director, Violent Crimes Compensation Board",40098.86,40098.86,40098.86,1
"524","Executive Office Assistant",55924.41,51175.73,60673.09,2
"525","Executive Residence Mgr",88546.38,88546.38,88546.38,1
"526","Executive Secretary 2",60707.965,53756.93,67659,2
"527","Executive Secretary 3",62671.1575,46795.95,74263.05,8
"528","Executive Secretary 4",65375.87,65375.87,65375.87,1
"529","Executive Secretary, Prof Teaching Practices Commission",101879.05,101879.05,101879.05,1
"530","Exhibit Specialist",78751.33,78751.33,78751.33,1
"531","Extended Jurisdiction Program Manager",135996.675,133912.49,138080.86,2
"532","Facilities & Osha Adminstrator",82173.9,82173.9,82173.9,1
"533","Facilities Manager 1",74364.498,35183.65,109357.2,5
"534","Facilities Manager 2",91579.8,81626.75,101532.85,2
"535","Family Nutrition Programs Manager",95809.89,95809.89,95809.89,1
"536","Ferry Terminal Agent 1",36454.3579591837,223.72,76034.09,49
"537","Ferry Terminal Agent 2",61374.4533333333,42467.73,79088.18,3
"538","Ferry Terminal Manager 1",72026.5688888889,62193.03,79010.65,9
"539","Ferry Terminal Manager 2",75222.7125,68660.11,84233.33,4
"540","Field Auditor 1",56363.4754545455,46044.93,73997.19,11
"541","Fin Sys Analyst",71886.02,71886.02,71886.02,1
"542","Finance Analyst 2",73536.82,73536.82,73536.82,1
"543","Finance Officer",115752.9,115752.9,115752.9,1
"544","Financial Examiner 1",58414.2766666667,51513.83,68345.81,3
"545","Financial Examiner 2",68691.22,63413.12,73969.32,2
"546","Financial Examiner 3",87924.2928571428,67363.92,105341.04,7
"547","Financial Examiner 4",111623.225,106209.58,117036.87,2
"548","Financial Registration Examiner",52147.892,41158.68,60645.24,5
"549","Fine Arts Administrator",60192.79,29345.05,86482.42,3
"550","Fingerprint Technician 1",40043.77,40043.77,40043.77,1
"551","Fingerprint Technician 2",48672.12,48672.12,48672.12,1
"552","Fingerprint Technician 3",71548.25,71548.25,71548.25,1
"553","Fire Management Officer",131111.572,104171.8,153402.1,5
"554","Fire Training Administrator",94663.14,94663.14,94663.14,1
"555","Fire Training Specialist",74962.2733333333,37046.04,106267.93,3
"556","First Asst Engineer 15/16",147666.446666667,114773.34,168638.87,12
"557","Fiscal Management Analyst",159604.3,159604.3,159604.3,1
"558","Fish & Game Coordinator",121777.324411765,79175.31,168018.11,34
"559","Fish & Game Program Technician",46530.0013888889,3174,86438.12,36
"560","Fish & Game Regulatory Program Assistant",49860.264,34249.61,65923.84,5
"561","Fish & Wildlife Technician 1",9122.94,9122.94,9122.94,1
"562","Fish & Wildlife Technician 2",13800.5440375587,697.13,60143.1,213
"563","Fish & Wildlife Technician 3",25648.8324113475,487.86,89635.14,141
"564","Fish & Wildlife Technician 4",41692.0644827586,6654.56,65232.84,29
"565","Fish & Wildlife Technician 5",64364.805,32707.12,85379.51,4
"566","Fish Culturist 1",43578.7983333333,14939.64,59863.2,6
"567","Fish Culturist 2",74005.315,59760.32,99891.42,6
"568","Fish Culturist 3",90115.215,85110,95120.43,2
"569","Fish Pathologist",102336.73,102336.73,102336.73,1
"570","Fisheries Geneticist 1",69359.18,63498.88,80645.22,3
"571","Fisheries Geneticist 2",83994.3433333333,70662.6,91317.52,3
"572","Fisheries Geneticist 3",111616.96,111616.96,111616.96,1
"573","Fisheries Scientist 1",128386.06,59025.64,193775.64,9
"574","Fisheries Scientist 2",143511.8,97347.21,175576.43,3
"575","Fishery Analyst",79788.43,79788.43,79788.43,1
"576","Fishery Biologist 1",48883.1768,2070.75,92517.41,50
"577","Fishery Biologist 2",75858.2211904762,17601.24,128636.52,84
"578","Fishery Biologist 3",98650.294,62538.65,176252.68,85
"579","Fishery Biologist 4",111471.6755,69092.23,147711.78,20
"580","Food Service Supervisor",82178.1575,18016.27,178249.33,8
"581","Food Service, Foreman",74799.9122222222,28536.18,109499.88,9
"582","Food Service, Journey",39044.733,7665.41,66894.54,10
"583","Food Service, Lead",57385.6287096774,9123.78,86930.46,31
"584","Food Service, Sub-Journey",29521.0483333333,2596.8,45461.7,6
"585","Forensic Accountant",115591,115591,115591,1
"586","Forensic Auditor & Analyst 1",7709.98,7709.98,7709.98,1
"587","Forensic Auditor & Analyst 2",137702.95,137702.95,137702.95,1
"588","Forensic Psychiatrist",323273.5,323273.5,323273.5,1
"589","Forensic Science Laboratory Administrator 1",112460.58,109230.07,115691.09,2
"590","Forensic Science Laboratory Administrator 2",113405.47,113405.47,113405.47,1
"591","Forensic Scientist 1 - Dna",43779.028,29011.01,52237.39,5
"592","Forensic Scientist 1 - Physical",11682,11682,11682,1
"593","Forensic Scientist 2 - Dna",60787.5675,59543.77,63669.42,4
"594","Forensic Scientist 2 - Physical",66021.04,66021.04,66021.04,1
"595","Forensic Scientist 3 - Chemistry",82786.81,67332.57,104079.71,4
"596","Forensic Scientist 3 - Dna",79772.948,64462.95,101417.72,5
"597","Forensic Scientist 3 - Physical",86280.65,65958.19,96583,5
"598","Forensic Scientist 4 - Chemistry",82929.73,82929.73,82929.73,1
"599","Forensic Scientist 4 - Dna",111576.475,98669.04,124483.91,2
"600","Forensic Scientist 4 - Physical",119791.99,119791.99,119791.99,1
"601","Forensic Scientist I - Chemistry",49874.64,41816.07,57933.21,2
"602","Forensic Scientist, Dna Technical Manager",112429.32,112429.32,112429.32,1
"603","Forensic Technician 1",41775.165,41140.52,42409.81,2
"604","Forensic Technician 2",97102.13,97102.13,97102.13,1
"605","Forester 1",56859.0466666667,47352.7,69836.28,3
"606","Forester 2",66774.812,34901.04,122770.21,10
"607","Forester 3",76223.635,42043.72,97486.04,8
"608","Forester 4",101934.002307692,24421.57,160101.92,13
"609","Forester 5",67339.12,15367.1,119311.14,2
"610","General Counsel",263100.89,263100.89,263100.89,1
"611","Geographical Information Systems Specialist",28644.9,28644.9,28644.9,1
"612","Geological Scientist 1",98757.5866666667,46415.17,136179.84,3
"613","Geologist 1",53256.18,50146.2,55472.06,4
"614","Geologist 2",56591.095,4569,78271.26,8
"615","Geologist 3",75498.45,34505.4,106644.84,6
"616","Geologist 4",93678.6491666667,46824.71,111497.31,12
"617","Geologist 5",105702.533333333,71262.19,138560.61,9
"618","Gis Analyst 1",26950.98,26950.98,26950.98,1
"619","Gis Analyst 2",62498.7492307692,40398.35,75137.06,13
"620","Gis Analyst 3",79077.574375,22662.27,114475.93,16
"621","Gis Analyst 4",120780.55,101846.42,139714.68,2
"622","Governor",145002,145002,145002,1
"623","Graduate Intern 1",11794.565,6936.75,16652.38,2
"624","Grants Accountability Manager",107025.63,107025.63,107025.63,1
"625","Grants Administrator 1",40452.698,17991.07,53946.09,5
"626","Grants Administrator 2",71593.584137931,14789.23,120511.8,29
"627","Grants Administrator 3",79049.63375,59808.13,107123.65,16
"628","Grants Administrator Manager",108007.68,108007.68,108007.68,1
"629","Grants And Procurement Manager",100504.33,92973.01,108035.65,2
"630","Grants Coordinator",73819.36,73819.36,73819.36,1
"631","Habitat Biologist 1",54463.6025,29207.56,98179.91,4
"632","Habitat Biologist 2",61081.6758333333,48150.74,80378.86,12
"633","Habitat Biologist 3",77930.1163157895,61207.54,99480.89,19
"634","Habitat Biologist 4",92318.4916666667,76861.74,111097.06,6
"635","Head Bedroom Steward 76/96",79811.665,45177.08,114446.25,2
"636","Health & Social Services Planner 2",68870.282,56270.89,84271.46,5
"637","Health & Social Services Planner 3",76129.26,76129.26,76129.26,1
"638","Health Care Policy Administrator",103509.83,103509.83,103509.83,1
"639","Health Operations Manager",104958.6,104958.6,104958.6,1
"640","Health Program Associate",54295.1213157895,20053.99,78932.93,38
"641","Health Program Manager 1",68933.8507142857,48827.81,85155.7,14
"642","Health Program Manager 2",74801.0084210526,7708.9,129198.03,57
"643","Health Program Manager 3",98387.7375,50757.19,135430.65,24
"644","Health Program Manager 4",118759.44,99660.43,143408.53,4
"645","Hearing Examiner 1",113539.9325,91055.7,131227.43,4
"646","Hearing Examiner 2",127658.4,127658.4,127658.4,1
"647","Hearing Officer",73443.2,73443.2,73443.2,1
"648","Historian 1",38769.88,38769.88,38769.88,1
"649","Historian 2",66721.4,63390.43,73254.9,3
"650","Historian 3",73179.44,73179.44,73179.44,1
"651","Human Resource And Administrative Director",97688.4,97688.4,97688.4,1
"652","Human Resource Consultant 1",61083.4876190476,33788.42,88715.67,21
"653","Human Resource Consultant 2",73378.9742857143,28537.2,102252.69,21
"654","Human Resource Consultant 3",80842.11125,19739.59,117428.63,8
"655","Human Resource Consultant 4",91461.8016666667,68464.58,113733.84,12
"656","Human Resource Consultant 5",89583.207,3083.44,136716.63,10
"657","Human Resource Consultant 6",138639.135,124497.56,152780.71,2
"658","Human Resource Generalist",49242.8,49242.8,49242.8,1
"659","Human Resource Technician 1",39800.7975,2917.2,65343.07,8
"660","Human Resource Technician 2",53918.3854166667,11304.42,107989.61,48
"661","Human Resource Technician 3",70034.9275,54931.45,86206.43,8
"662","Human Resources Coordinator-Human Resource Specialist",61109.47,61109.47,61109.47,1
"663","Human Rights Field Representative 1",14649.15,14649.15,14649.15,1
"664","Human Rights Field Representative 2",20148.48,20148.48,20148.48,1
"665","Human Rights Field Representative 3",72356.8925,64543.57,79853.56,4
"666","Human Rights Field Representative 4",108310.9,108310.9,108310.9,1
"667","Hydrologist 2",74064.232,64767.79,94721.27,5
"668","Hydrologist 3",98414.81,98414.81,98414.81,1
"669","Hydrologist 4",96989.08,96989.08,96989.08,1
"670","Income And Excise Tax Specialist",153748.18,153748.18,153748.18,1
"671","Industrial Hygienist",61132.71,4966.16,114358.46,6
"672","Information Officer 1",67565.49,67565.49,67565.49,1
"673","Information Officer 2",58840.9171428571,8991.16,95684.76,7
"674","Information Officer 3",79732.8357142857,39937.3,129139.53,7
"675","Information System Coordinator",61159.645,33243.63,83168.25,6
"676","Information Technology Spec",85072.7375,40923.25,132333,4
"677","Infrastructure Development Senior Finance Officer",127839.16,127839.16,127839.16,1
"678","Infrastructure Engineer",28864.73,28864.73,28864.73,1
"679","Infrastructure Investment Coordinator",145839,145839,145839,1
"680","Insurance Financial Examiner 1",76863.75,76863.75,76863.75,1
"681","Insurance Financial Examiner 2",81638.29,81638.29,81638.29,1
"682","Insurance Financial Examiner 3",111687.86,111687.86,111687.86,1
"683","Insurance Licensing Examiner 1",41417.305,39668.93,43165.68,2
"684","Insurance Licensing Examiner 2",35147.45,21123.28,49171.62,2
"685","Insurance Specialist 1",56251.94,51610.11,60893.77,2
"686","Insurance Specialist 2",85850.4066666667,70000.84,115551.95,3
"687","Insurance Specialist 3",85034.225,69947.54,113418.36,4
"688","Intern",13152.38,13152.38,13152.38,1
"689","International Airport Foreman",112358.935,104079.55,120638.32,2
"690","International Airports Controller",101957.44,101957.44,101957.44,1
"691","International Grants & Marketing Coordinator",85186.76,85186.76,85186.76,1
"692","International Prog Coordinator",32118.32,1320.38,62916.26,2
"693","Internet Specialist (Acpe)",98571.7,98571.7,98571.7,1
"694","Internet Specialist 1",66836.645,53921.67,79751.62,2
"695","Internet Specialist 2",81090.41,71095.8,92746.17,7
"696","Investigator 1",59784.87,59784.87,59784.87,1
"697","Investigator 2",59581.9061290323,9321.75,97566.97,31
"698","Investigator 3",78343.0938983051,9108.54,162156.8,59
"699","Investigator 4",101365.898571429,84608,118426.5,7
"700","Investigator 5",97537.48,76015.04,119059.92,2
"701","Investment Accountant",21857.44,21857.44,21857.44,1
"702","Investment Associate",104831.435,48883.19,143341.95,8
"703","Investment Officer",232438.819411765,51875,364695.93,17
"704","Investment Officer Project Finance",122344.55,122344.55,122344.55,1
"705","It Analyst/Network Support",74055.03,74055.03,74055.03,1
"706","It Data Processing Svcs Leader",138390.9,138390.9,138390.9,1
"707","It Manager",100597.2,100597.2,100597.2,1
"708","Junior Asst Purser 29",63225.7825,35320.73,81337.44,4
"709","Junior Engineer 53/32",74433.19,15004.4,135387.64,10
"710","Labor Relations Analyst 2",55448.2,20161.05,90735.35,2
"711","Labor Relations Manager",151414.48,151414.48,151414.48,1
"712","Laboratory Quality Systems Manager",105473.57,105473.57,105473.57,1
"713","Laboratory Technician",50306.44,43325.33,55015.71,6
"714","Lan Administrator",106363.54,106363.54,106363.54,1
"715","Land Survey Manager 1",121809.29,106076.04,141751.52,4
"716","Land Survey Manager 2",129829.51,129829.51,129829.51,1
"717","Land Survey Specialist 1",83056.265,69533.95,96578.58,2
"718","Land Survey Specialist 2",78160.8225,62899.14,95105.97,4
"719","Land Surveyor 1",99540.7171428571,81797.3,118671.41,7
"720","Land Surveyor 2",111117.497,77977.68,144404.21,10
"721","Lap Outreach Coordinator",24916.22,24916.22,24916.22,1
"722","Large Project Coordinator",109611.228333333,97025.98,120284.56,6
"723","Law Office Assistant 1",23669.1783076923,1234.8,61097.77,65
"724","Law Office Assistant 2",43747.4420289855,1005.92,69658.48,69
"725","Law Office Assistant 3",52331.9257142857,1914.4,85288.86,35
"726","Law Office Manager",63648.692,56581.48,71575.01,5
"727","Librarian 1",59263.87,53891.28,64636.46,2
"728","Librarian 2",56335.525,13416,99255.05,2
"729","Librarian 3",87031.1933333333,60008.7,113464.45,3
"730","Librarian 4",89022.84,89022.84,89022.84,1
"731","Library Assistant 1",41605.5633333333,13374.75,57346.49,3
"732","Library Assistant 2",64616.75,61208.57,68024.93,2
"733","Licensed Practical Nurse",97705.078,72458.63,128374.28,10
"734","Licensing Project Leader",95528.89,95528.89,95528.89,1
"735","Lieutenant Governor",83304.21,83304.21,83304.21,1
"736","Lieutenant, Department Of Public Safety",214638.480454545,171135.61,361282.29,22
"737","Lifeguard 1",2055.79866666667,96.44,5987.18,15
"738","Lifeguard 2",46576.71,46576.71,46576.71,1
"739","Loan Closer/Processor 1",16522.875,6154.61,26891.14,2
"740","Loan Closer/Processor 2",33183.485,21729.65,44637.32,2
"741","Loan Officer 2",99698.23,55008.56,144387.9,2
"742","Loan Services Supervisor",72642.485,64305.67,80979.3,2
"743","Loan Specialist",60244.98,60244.98,60244.98,1
"744","Loan/Collection Officer 1",28961.44,9076.85,48846.03,2
"745","Loan/Collection Officer 2",75214.2116666667,65020.07,90114.71,6
"746","Loan/Collection Officer 3",91855.54,73470.71,106687.39,3
"747","Local Government Specialist 2",56740.8925,4204.17,86353.1,4
"748","Local Government Specialist 3",87189.425,57046.75,130324.53,8
"749","Local Government Specialist 4",72069.2416666667,20653.25,94990.58,6
"750","Local Government Specialist 5",102583.73,102583.73,102583.73,1
"751","Long Term Care Specialist",13893.65,13893.65,13893.65,1
"752","Long-Term Care Ombudsman",111271.2,111271.2,111271.2,1
"753","Lt Governor Scheduler",60357.26,60357.26,60357.26,1
"754","Mail Room Clerk",27970.85,27970.85,27970.85,1
"755","Mail Services Courier",37955.2,15312.36,59890.75,10
"756","Mail Services Lead Courier",62675.6,62675.6,62675.6,1
"757","Mail Services Manager",58579.86,58579.86,58579.86,1
"758","Maintenance & Operations Coordinator",84804.9,84804.9,84804.9,1
"759","Maintenance And Operations Manager",136927.5,110259.3,163595.7,2
"760","Maintenance And Operations Specialist",81341.5733333333,73869.23,94097.82,3
"761","Maintenance And Operations Superintendent",127760.513846154,92737.44,160030.53,13
"762","Maintenance Generalist, Foreman",77189.565,71866.83,82512.3,2
"763","Maintenance Generalist, Journey",54471.2983870968,934,91747.48,93
"764","Maintenance Generalist, Lead",57591.665,4968,81930.91,12
"765","Maintenance Generalist, Sub-Journey 1",35272.07,7914.38,65213.85,10
"766","Maintenance Generalist, Sub-Journey 2",30729.3777777778,3096.66,57190.65,9
"767","Maintenance Specialist, Bldg/Facility/Const, Foreman",99000.720952381,61715,130576.33,21
"768","Maintenance Specialist, Bldg/Facility/Const, Journey 1",70392.4853333333,11697.6,125969.75,45
"769","Maintenance Specialist, Bldg/Facility/Const, Jrny 2/ Lead",79993.6282222222,54047.02,140973.58,45
"770","Maintenance Specialist, Electrical Utility, Journey 2/Lead",74558.28,74558.28,74558.28,1
"771","Maintenance Specialist, Electrician, Foreman",89732.04,89732.04,89732.04,1
"772","Maintenance Specialist, Electrician, Journey 2/Lead",81206.2768965517,53905.42,119724.14,29
"773","Maintenance Specialist, Electronics, Journey 2/Lead",71827.5134782609,12238.72,102737.93,23
"774","Maintenance Specialist, Plumbing, Journey 2/Lead",79040.0945454545,63303.39,130460.23,11
"775","Maintenance Specialist, Traffic Cntrl & Elec Sys, Foreman",98042.43,98042.43,98042.43,1
"776","Maintenance Specialist, Traffic Cntrl & Elec Sys, Jrny 2/Ld",74602.515,50002.25,99202.78,2
"777","Major, Department Of Public Safety",261506.93,246661.86,277277.85,3
"778","Manager, Airfield Maintenance",117414.88,117414.88,117414.88,1
"779","Marine Engineering Assistant Manager",105323.28,105323.28,105323.28,1
"780","Marine Pilot Coordinator",64128.94,64128.94,64128.94,1
"781","Marine Traffic Manager",115225.28,115225.28,115225.28,1
"782","Marine Transportation Services Manager",135066.373333333,127983.18,147155.09,3
"783","Marketing Communications Specialist",52300.99,52300.99,52300.99,1
"784","Master 01/02",156759.392666667,134027.38,194200.7,15
"785","Master, Lituya Class 01",182734.96,182734.96,182734.96,1
"786","Materials Laboratory Technician, Foreman",128079.48,128079.48,128079.48,1
"787","Materials Laboratory Technician, Journey",104585.465,103889.61,105281.32,2
"788","Materials Laboratory Technician, Sub-Journey 1",36837.755,29627.64,44047.87,2
"789","Materials Laboratory Technician, Sub-Journey 2",61414.96,61414.96,61414.96,1
"790","Materials Laboratory Technician, Sub-Journey 4",54108.78,54108.78,54108.78,1
"791","Mechanic, Automotive, Advanced Journey/Lead",70373.9466315789,2305.23,132340.73,95
"792","Mechanic, Automotive, Foreman 1",72368.185,67207.07,77529.3,2
"793","Mechanic, Automotive, Foreman 2",94557.7738461538,69891.84,115171.4,13
"794","Mechanic, Automotive, Journey",57746.9775,35274.17,84219.79,4
"795","Mechanic, Rural Arff, Advanced Journey",82778.3744444444,8945.07,108009.28,9
"796","Mechanical Inspection Manager",99966.9,99966.9,99966.9,1
"797","Medicaid Program Associate",60865.81,48333.62,73398,2
"798","Medicaid Program Specialist 1",61330.0126666667,45475.89,75747.68,15
"799","Medicaid Program Specialist 2",69433.87,52744.37,94604.92,11
"800","Medicaid Program Specialist 3",85365.7411764706,68871.44,107789.11,17
"801","Medicaid Program Specialist 4",99609.40625,71288.62,124328.66,24
"802","Medicaid Program Specialist 5",102902.354,88650.76,114251.61,5
"803","Medical Director",229789.846666667,186728.97,260678.45,3
"804","Medical Examiner/Assistant",224001.5,224001.5,224001.5,1
"805","Medical Examiner/Deputy",224654.97,224654.97,224654.97,1
"806","Medical Information And Services Assistant",33218.0375,3904.99,51715.43,4
"807","Medical Officer",201176.69,102607.08,299746.3,2
"808","Medical Records Administrator",70549.92,70549.92,70549.92,1
"809","Medicolegal Investigator 1",3162.6,3162.6,3162.6,1
"810","Medicolegal Investigator 2",60620.8166666667,57097.01,63488.47,3
"811","Medicolegal Investigator 3",83053.855,75364.24,90743.47,2
"812","Medicolegal Investigator 4",113298.38,113298.38,113298.38,1
"813","Mehs Coach (Flsa Exempt)",2925.78066666667,210,7816,15
"814","Mental Health Clinician 1",21921.955,7835.66,36008.25,2
"815","Mental Health Clinician 2",67951.6808333333,6673.23,98686.13,12
"816","Mental Health Clinician 3",88900.4462962963,1363.44,112508.96,27
"817","Mental Health Clinician 4",117356.08,117356.08,117356.08,1
"818","Mess Steward 77/97",63455.9942857143,24739.48,93601.03,7
"819","Microbiologist 1",48453.5,47479.67,49427.33,2
"820","Microbiologist 2",61122.81,51226.82,72620.48,6
"821","Microbiologist 3",76149.23,76149.23,76149.23,1
"822","Microcomputer/Network Spec",83675.555,79648.36,87702.75,2
"823","Microcomputer/Network Specialist 1",72967.8140625,51542.2,104753.1,32
"824","Microcomputer/Network Specialist 2",88839.2925,63638.18,134795.48,20
"825","Microcomputer/Network Technician 1",33155.8475,7575.16,55154.08,8
"826","Microcomputer/Network Technician 2",54301.0865853659,7871.7,96329.33,41
"827","Microfilm/Imaging Operator 1",53132.66,51211.58,55053.74,2
"828","Microfilm/Imaging Operator 2",59706.244,44831.15,71412.6,5
"829","Microfilm/Imaging Operator 3",61462.79,61462.79,61462.79,1
"830","Mis Administrator",113972.64,113972.64,113972.64,1
"831","Motor Vehicle Customer Services Representative 1",27809.6006451613,422.55,65238.36,62
"832","Motor Vehicle Customer Services Representative 2",46486.369,1682.57,81452.2,20
"833","Motor Vehicle Customer Services Representative 3",50784.2622222222,41086.44,75875.93,9
"834","Motor Vehicle Hearing Officer",90722.085,87710.52,93733.65,2
"835","Motor Vehicle Office Manager 1",47364.354,4140.8,78763.42,10
"836","Motor Vehicle Office Manager 2",65964.552,56902.03,72077.51,5
"837","Motor Vehicle Office Manager 3",93979.78,93979.78,93979.78,1
"838","Museum Conservator",96129.72,96129.72,96129.72,1
"839","Museum Curator 1",8700,8700,8700,1
"840","Museum Curator 2",96719.4675,81730.8,116395.48,4
"841","Museum Protection & Visitor Services Assistant",8074.21052631579,2.35,39955.46,19
"842","Museum Protection & Visitor Services Manager",51862.18,51862.18,51862.18,1
"843","Natural Resource Manager 1",77607.1608333333,9121.6,99550.77,12
"844","Natural Resource Manager 2",93545.4426666667,59294,118157.82,15
"845","Natural Resource Manager 3",101949.321538462,77840.73,120497.85,13
"846","Natural Resource Specialist 1",41247.7819047619,10642.38,56949.05,21
"847","Natural Resource Specialist 2",50619.4447272727,3107.26,80783.68,55
